"record_id","ed","np"
906127038,NA,NA
906127097,130.410342889264,257
906127116,NA,NA
906127117,143.749249429566,282
906127118,143.749249429566,282
906127122,NA,NA
906127193,113.810382842253,183
906127231,NA,NA
906127232,NA,NA
906127243,NA,NA
906127255,NA,NA
906127256,146.904217326753,255
906127257,NA,NA
906127265,130.523780854907,231
906127275,NA,NA
906127276,NA,NA
906127277,NA,NA
906127278,148.277383387478,197
906127279,148.277383387478,197
906127282,104.76534006653,239
906127303,144.025989652268,237
906127330,NA,NA
906127331,122.663457681508,173
906127359,NA,NA
906127365,NA,NA
906127389,157.742750571532,342
906127408,NA,NA
906127449,109.053002966883,165
906127450,NA,NA
906127451,163.09924643258,350
906127462,127.217272654306,209
906127463,127.217272654306,209
906127468,NA,NA
906127469,127.217272654306,209
906127491,NA,NA
906127543,135.207657495294,192
906127549,NA,NA
906127567,NA,NA
906127582,NA,NA
906127583,NA,NA
906127592,NA,NA
906127593,148.277383387478,197
906127594,148.277383387478,197
906127595,136.001281897208,321
906127629,130.410342889264,257
906127639,132.651423987164,202
906127640,134.866177119698,301
906127658,NA,NA
906127660,120.963855421687,270
906127690,118.288624243153,253
906127691,146.904217326753,255
906127729,157.389635316699,353
906127730,150.02406159769,244
906127739,132.137554672766,202
906127758,143.217893217893,299
906127759,139.924625130302,268
906127786,NA,NA
906127800,139.377157075207,208
906127824,157.389635316699,353
906127839,NA,NA
906127840,NA,NA
906127841,NA,NA
906127902,NA,NA
906127903,NA,NA
906127963,NA,NA
906127980,NA,NA
906127981,NA,NA
906128001,NA,NA
906128002,NA,NA
906128013,NA,NA
906128014,127.217272654306,209
906128046,NA,NA
906128047,130.523780854907,231
906128059,135.207657495294,192
906128097,NA,NA
906128107,NA,NA
906128108,NA,NA
906128109,NA,NA
906128110,NA,NA
906128156,NA,NA
906128157,NA,NA
906128158,145.763254845427,326
906128173,NA,NA
906128176,NA,NA
906128177,141.849089888541,220
906128178,NA,NA
906128210,NA,NA
906128211,NA,NA
906128212,NA,NA
906128213,NA,NA
906128214,NA,NA
906128234,144.043321299639,204
906128258,NA,NA
906128280,NA,NA
906128281,NA,NA
906128310,120.963855421687,270
