"record_id","landcover_class"
906125240,"5"
906125241,"1"
906125264,"6"
906125265,"6"
906125266,"6"
906125267,"5"
906125268,"5"
906125271,"5"
906125272,"1"
906125321,"6"
906125322,"6"
906125344,"6"
906125345,"1"
906125346,"1"
906125347,"17"
906125348,"6"
906125349,"6"
906125350,"1"
906125351,"1"
906125352,"18"
906125356,"6"
906125364,"1"
906125365,"17"
906125380,"6"
906125381,"6"
906125382,"6"
906125414,"1"
906125415,"1"
906125416,"1"
906125420,"6"
906125421,"6"
906125440,"1"
906125441,"1"
906125462,"6"
906125465,"6"
906125480,"17"
906125481,"6"
906125491,"6"
906125492,"6"
906125493,"1"
906125494,"1"
906125499,"6"
906125533,"5"
906125549,"5"
906125550,"5"
906125551,"6"
906125561,"6"
906125582,"17"
906125583,"17"
906125584,"17"
906125585,"6"
906125586,"6"
906125588,"6"
906125595,"6"
906125618,"1"
906125619,"1"
906125634,"1"
906125644,"6"
906125645,"1"
906125651,"1"
906125652,"1"
906125653,"6"
906125654,"1"
906125666,"17"
906125701,"6"
906125713,"6"
906125730,"5"
906125755,"6"
906125756,"1"
906125771,"6"
906125772,"6"
906125828,"6"
906125848,"6"
906125849,"6"
906125850,"1"
906125886,"1"
906125887,"6"
906125888,"18"
906125896,"6"
906125916,"1"
906125951,"6"
906125952,"6"
906125953,"8"
906125959,"6"
906125960,"6"
906126031,"1"
906126032,"6"
906126045,"18"
906126046,"8"
906126047,"1"
906126054,"18"
906126055,"6"
906126056,"1"
906126057,"1"
906126078,"6"
906126079,"6"
906126085,"1"
906126086,"8"
906126087,"5"
906126088,"1"
906126089,"1"
906126094,"18"
906126103,"6"
906126108,"1"
906126138,"5"
906126139,"6"
906126140,"6"
906126159,"1"
906126180,"6"
906126223,"5"
906126224,"6"
906126225,"6"
906126226,"6"
906126261,"6"
906126270,"17"
906126289,"6"
906126310,"8"
906126332,"1"
906126333,"1"
906126336,"6"
906126339,"1"
906126340,"1"
906126350,"1"
906126353,"1"
906126356,"1"
906126357,"1"
906126377,"1"
906126379,"1"
906126380,"1"
906126381,"1"
906126382,"1"
906126383,"1"
906126412,"6"
906126413,"6"
906126414,"1"
906126417,"5"
906126418,"5"
906126430,"6"
906126431,"6"
906126448,"17"
906126457,"5"
906126519,"1"
906126520,"1"
906126521,"5"
906126522,"5"
906126523,"5"
906126524,"1"
906126525,"1"
906126526,"1"
906126527,"17"
906126528,"17"
906126600,"5"
906126601,"5"
906126606,"1"
906126607,"17"
906126608,"17"
906126609,"17"
906126616,"5"
906126617,"5"
906126618,"5"
